"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_N - Copy",active,90810,70986,1.279266,4.580333,687,0.967796,0.589986,17875,1528,836,695,362,116,4,,,34,12.233529,18,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,23.10777778,415.94,30,Daily,2025-10-20,2025-10-20T14:01:18+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V - Copy",active,60886,47123,1.292065,9.110797,596,1.264775,0.89906,19159,1422,779,513,274,199,5,,,55,10.085818,34,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,16.31529412,554.72,40,Daily,2025-10-20,2025-10-20T14:01:27+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_MOLTI_MI_CHIEDONO_+_VIDEO_ADV_APP_VERDE - Copy",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-20,2025-10-20T14:01:17+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_LAVAGNA_+_VIDEO_ADV_APP_VERDE",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-04,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_MAGAZZINIERE_+_VIDEO_ADV_APP_VERDE",archived,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-04,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_MOLTI_MI_CHIEDONO_+_VIDEO_ADV_APP_VERDE",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-04,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_MOLTI_MI_CHIEDONO_BN_+_VIDEO_ADV_APP_VERDE",archived,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-04,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_ALTRO_TIPO_DI_EMERGENZE_+BODY_1_MEDICO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-09,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:   HOOK_ALTRO_TIPO_DI_PAZIENTI_+_BODY_1_MEDICO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-09,2025-09-09T02:37:35+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:   HOOK_LA_MIA_SALA_D_ATTESA_+_BODY_1_MEDICO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-09,2025-09-09T02:37:31+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:   HOOK_SITUAZIONE_FINANZIARIA_+_BODY_1_MEDICO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-09,2025-09-09T02:37:29+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:   HOOK_LUCA_VAI_A_CAGARE_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-09,2025-09-09T16:46:51+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  HOOK_GURU_ONLINE_TRUFFATORI_+_VIDEO_AD_SECONDO_STIPENDIO_CON_60_MINUTI_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-14,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  HOOK_NON_ACQUISTARE_UN_ALTRO_PRODOTTO_DA_AMAZON_+_VIDEO_AD_SECONDO_STIPENDIO_CON_60_MINUTI_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-14,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  HOOK_NULLA_DA_PARTE_A_FINE_MESE_+_VIDEO_AD_SECONDO_STIPENDIO_CON_60_MINUTI_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-14,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK PASSEGGINO + BODY  NEGOZI ONLINE 24H",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_PASSEGGINO_+_BODY_PORTA_SUL_RETRO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_PASSEGGINO_+_BODY-COSTO-DI-UN-FIGLIO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_POV_TELEFONO_+_BODY_NEGOZIO-APERTO-H24",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_POVTELEFONO_+_BODY_COSTO-DI-UN-FIGLIO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_POVTELEFONO_+_BODY_PORTA_SUL_RETRO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_UN_ALTRO_DI_QUEI_CAZZARI_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_VI_RENDE_FELICE_+_BODY_COSTO-DI-UNFIGLIO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_VI_RENDE_FELICE_+_BODY_NEGOZI-ONLINE-H24",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_VI-RENDE-FELICE_+_BODY_PORTA-SUL-RETRO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  VIDEO_AD_HOOK_VIRALE_SCATOLA_IN_TESTA_H2",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-20,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  VIDEO_AD_DIPENDENTI_N",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-20,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_N",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,30,Daily,2025-09-20,2025-09-30T02:05:15+0200,"Test LDP"
2025-12-01,2025-12-14,"TEST adset LDP",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,100,Daily,2025-08-26,2025-08-26T17:17:23+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_COPIARE_AMAZON_+_VIDEO_AD_SECONDO_STIPENDIO_CON_60_MINUTI_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,49,Daily,2025-08-27,2025-08-29T18:23:28+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_DATORE_DI_LAVORO_ODIA_QUESTO_TRUCCO_PER_CHAT_GPT_+_VIDEO_AD_SECONDO_STIPENDIO_CON_60_MINUTI_V",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,30,Daily,2025-08-27,2025-08-27T08:16:15+0200,"Test LDP"
