"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:   HOOK_LUCA_VAI_A_CAGARE_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-09,2025-09-09T16:46:51+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  HOOK_GURU_ONLINE_TRUFFATORI_+_VIDEO_AD_SECONDO_STIPENDIO_CON_60_MINUTI_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-14,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  HOOK_NON_ACQUISTARE_UN_ALTRO_PRODOTTO_DA_AMAZON_+_VIDEO_AD_SECONDO_STIPENDIO_CON_60_MINUTI_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-14,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  HOOK_NULLA_DA_PARTE_A_FINE_MESE_+_VIDEO_AD_SECONDO_STIPENDIO_CON_60_MINUTI_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-14,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK PASSEGGINO + BODY  NEGOZI ONLINE 24H",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_PASSEGGINO_+_BODY_PORTA_SUL_RETRO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_PASSEGGINO_+_BODY-COSTO-DI-UN-FIGLIO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_POV_TELEFONO_+_BODY_NEGOZIO-APERTO-H24",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_POVTELEFONO_+_BODY_COSTO-DI-UN-FIGLIO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_POVTELEFONO_+_BODY_PORTA_SUL_RETRO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
